,S,E,I,R,D,V
0,7015.0,0.0,17.0,239.0,17.0,825.0
1,7015.0,0.0,17.0,239.0,17.0,825.0
2,7014.0,1.0,17.0,239.0,17.0,825.0
3,7014.0,1.0,17.0,239.0,17.0,825.0
4,7014.0,1.0,17.0,239.0,17.0,825.0
5,7014.0,1.0,17.0,239.0,17.0,825.0
6,7014.0,1.0,17.0,239.0,17.0,825.0
7,7014.0,0.0,18.0,239.0,17.0,825.0
8,7014.0,0.0,18.0,239.0,17.0,825.0
9,7014.0,0.0,18.0,239.0,17.0,825.0
10,7014.0,0.0,18.0,239.0,17.0,825.0
11,7014.0,0.0,16.0,241.0,17.0,825.0
12,7013.0,1.0,16.0,241.0,17.0,825.0
13,7013.0,1.0,16.0,241.0,17.0,825.0
14,7012.0,2.0,16.0,241.0,17.0,825.0
15,7012.0,2.0,16.0,241.0,17.0,825.0
16,7012.0,2.0,16.0,241.0,17.0,825.0
17,7012.0,2.0,16.0,241.0,17.0,825.0
18,7012.0,1.0,17.0,241.0,17.0,825.0
19,7012.0,1.0,17.0,241.0,17.0,825.0
20,7012.0,0.0,17.0,242.0,17.0,825.0
21,7011.0,1.0,17.0,242.0,17.0,825.0
22,7011.0,1.0,17.0,242.0,17.0,825.0
23,7011.0,1.0,16.0,243.0,17.0,825.0
24,7011.0,1.0,15.0,244.0,17.0,825.0
25,7011.0,1.0,14.0,245.0,17.0,825.0
26,7011.0,1.0,13.0,246.0,17.0,825.0
27,7010.0,1.0,13.0,247.0,17.0,825.0
28,7010.0,1.0,11.0,249.0,17.0,825.0
29,7010.0,1.0,10.0,250.0,17.0,825.0
30,7010.0,1.0,10.0,250.0,17.0,825.0
31,7010.0,0.0,11.0,250.0,17.0,825.0
32,7010.0,0.0,10.0,251.0,17.0,825.0
33,7010.0,0.0,10.0,251.0,17.0,825.0
34,7010.0,0.0,10.0,251.0,17.0,825.0
35,7010.0,0.0,9.0,252.0,17.0,825.0
36,7010.0,0.0,8.0,253.0,17.0,825.0
37,7010.0,0.0,8.0,253.0,17.0,825.0
38,7010.0,0.0,8.0,253.0,17.0,825.0
39,7010.0,0.0,7.0,254.0,17.0,825.0
40,7010.0,0.0,7.0,254.0,17.0,825.0
41,7010.0,0.0,6.0,255.0,17.0,825.0
42,7009.0,1.0,6.0,255.0,17.0,825.0
43,7009.0,1.0,6.0,255.0,17.0,825.0
44,7009.0,1.0,5.0,256.0,17.0,825.0
45,7009.0,1.0,5.0,256.0,17.0,825.0
46,7009.0,1.0,5.0,256.0,17.0,825.0
47,7009.0,1.0,5.0,256.0,17.0,825.0
48,7009.0,1.0,5.0,256.0,17.0,825.0
49,7009.0,0.0,6.0,256.0,17.0,825.0
50,7009.0,0.0,5.0,257.0,17.0,825.0
51,7009.0,0.0,5.0,257.0,17.0,825.0
52,7009.0,0.0,5.0,257.0,17.0,825.0
53,7009.0,0.0,5.0,257.0,17.0,825.0
54,7009.0,0.0,5.0,257.0,17.0,825.0
55,7009.0,0.0,5.0,257.0,17.0,825.0
56,7009.0,0.0,5.0,257.0,17.0,825.0
57,7009.0,0.0,5.0,257.0,17.0,825.0
58,7009.0,0.0,5.0,257.0,17.0,825.0
59,7009.0,0.0,5.0,257.0,17.0,825.0
60,7009.0,0.0,4.0,258.0,17.0,825.0
61,7009.0,0.0,4.0,258.0,17.0,825.0
62,7009.0,0.0,4.0,258.0,17.0,825.0
63,7009.0,0.0,4.0,258.0,17.0,825.0
64,7009.0,0.0,4.0,258.0,17.0,825.0
65,7009.0,0.0,4.0,258.0,17.0,825.0
66,7009.0,0.0,4.0,258.0,17.0,825.0
67,7009.0,0.0,4.0,258.0,17.0,825.0
68,7009.0,0.0,4.0,258.0,17.0,825.0
69,7009.0,0.0,4.0,258.0,17.0,825.0
70,7009.0,0.0,4.0,258.0,17.0,825.0
71,7009.0,0.0,4.0,258.0,17.0,825.0
72,7009.0,0.0,4.0,258.0,17.0,825.0
73,7009.0,0.0,4.0,258.0,17.0,825.0
74,7009.0,0.0,4.0,258.0,17.0,825.0
75,7009.0,0.0,4.0,258.0,17.0,825.0
76,7009.0,0.0,4.0,258.0,17.0,825.0
77,7009.0,0.0,4.0,258.0,17.0,825.0
78,7009.0,0.0,3.0,259.0,17.0,825.0
79,7009.0,0.0,3.0,259.0,17.0,825.0
80,7009.0,0.0,3.0,259.0,17.0,825.0
81,7009.0,0.0,3.0,259.0,17.0,825.0
82,7009.0,0.0,3.0,259.0,17.0,825.0
83,7009.0,0.0,3.0,259.0,17.0,825.0
84,7009.0,0.0,3.0,259.0,17.0,825.0
85,7009.0,0.0,3.0,259.0,17.0,825.0
86,7009.0,0.0,3.0,259.0,17.0,825.0
87,7009.0,0.0,3.0,259.0,17.0,825.0
88,7009.0,0.0,3.0,259.0,17.0,825.0
89,7009.0,0.0,3.0,259.0,17.0,825.0
90,7009.0,0.0,3.0,259.0,17.0,825.0
91,7009.0,0.0,2.0,260.0,17.0,825.0
92,7009.0,0.0,2.0,260.0,17.0,825.0
93,7009.0,0.0,2.0,260.0,17.0,825.0
94,7009.0,0.0,2.0,260.0,17.0,825.0
95,7009.0,0.0,2.0,260.0,17.0,825.0
96,7009.0,0.0,2.0,260.0,17.0,825.0
97,7009.0,0.0,2.0,260.0,17.0,825.0
98,7009.0,0.0,2.0,260.0,17.0,825.0
99,7009.0,0.0,2.0,260.0,17.0,825.0
100,7009.0,0.0,2.0,260.0,17.0,825.0
101,7009.0,0.0,2.0,260.0,17.0,825.0
102,7009.0,0.0,2.0,260.0,17.0,825.0
103,7009.0,0.0,2.0,260.0,17.0,825.0
104,7009.0,0.0,2.0,260.0,17.0,825.0
105,7009.0,0.0,2.0,260.0,17.0,825.0
106,7009.0,0.0,2.0,260.0,17.0,825.0
107,7008.0,1.0,2.0,260.0,17.0,825.0
108,7008.0,1.0,2.0,260.0,17.0,825.0
109,7008.0,1.0,2.0,260.0,17.0,825.0
110,7008.0,1.0,2.0,260.0,17.0,825.0
111,7008.0,1.0,2.0,260.0,17.0,825.0
112,7008.0,1.0,2.0,260.0,17.0,825.0
113,7008.0,0.0,3.0,260.0,17.0,825.0
114,7008.0,0.0,2.0,261.0,17.0,825.0
115,7008.0,0.0,2.0,261.0,17.0,825.0
116,7008.0,0.0,2.0,261.0,17.0,825.0
117,7008.0,0.0,2.0,261.0,17.0,825.0
118,7008.0,0.0,2.0,261.0,17.0,825.0
119,7008.0,0.0,2.0,261.0,17.0,825.0
120,7008.0,0.0,2.0,261.0,17.0,825.0
121,7008.0,0.0,2.0,261.0,17.0,825.0
122,7008.0,0.0,2.0,261.0,17.0,825.0
123,7008.0,0.0,2.0,261.0,17.0,825.0
124,7008.0,0.0,2.0,261.0,17.0,825.0
125,7008.0,0.0,2.0,261.0,17.0,825.0
126,7008.0,0.0,2.0,261.0,17.0,825.0
127,7008.0,0.0,2.0,261.0,17.0,825.0
128,7008.0,0.0,2.0,261.0,17.0,825.0
129,7008.0,0.0,2.0,261.0,17.0,825.0
130,7008.0,0.0,2.0,261.0,17.0,825.0
131,7008.0,0.0,2.0,261.0,17.0,825.0
132,7008.0,0.0,2.0,261.0,17.0,825.0
133,7008.0,0.0,2.0,261.0,17.0,825.0
134,7008.0,0.0,2.0,261.0,17.0,825.0
135,7008.0,0.0,2.0,261.0,17.0,825.0
136,7008.0,0.0,2.0,261.0,17.0,825.0
137,7008.0,0.0,2.0,261.0,17.0,825.0
138,7008.0,0.0,1.0,262.0,17.0,825.0
139,7008.0,0.0,1.0,262.0,17.0,825.0
140,7008.0,0.0,1.0,262.0,17.0,825.0
141,7007.0,1.0,1.0,262.0,17.0,825.0
142,7007.0,1.0,1.0,262.0,17.0,825.0
143,7007.0,1.0,1.0,262.0,17.0,825.0
144,7007.0,1.0,1.0,262.0,17.0,825.0
145,7007.0,1.0,1.0,262.0,17.0,825.0
146,7007.0,1.0,1.0,262.0,17.0,825.0
147,7007.0,0.0,2.0,262.0,17.0,825.0
148,7007.0,0.0,2.0,262.0,17.0,825.0
149,7007.0,0.0,2.0,262.0,17.0,825.0
150,7007.0,0.0,1.0,263.0,17.0,825.0
